Respondent,DatabaseDesireNextYear,DatabaseWorkedWith
1467,PostgreSQL,
1467,Redis,
1476,Firebase,Firebase
1476,,MongoDB
1476,,MySQL
1476,,PostgreSQL
1476,,Redis
1476,,SQLite
1476,MongoDB,
1476,MySQL,
1476,PostgreSQL,
1476,Redis,
1476,SQLite,
1488,DynamoDB,Elasticsearch
1488,,MariaDB
1488,,Oracle
1488,Elasticsearch,
1488,MariaDB,
1512,Microsoft SQL Server,Microsoft SQL Server
1534,Microsoft SQL Server,Microsoft SQL Server
1534,,MySQL
1534,MySQL,
1551,Firebase,Firebase
1551,,MySQL
1551,,SQLite
1551,MySQL,
1551,SQLite,
1556,MongoDB,MongoDB
1556,,MySQL
1556,,PostgreSQL
1556,,SQLite
1556,MySQL,
1560,PostgreSQL,PostgreSQL
1560,,Redis
1560,,SQLite
1560,SQLite,
1564,Elasticsearch,Elasticsearch
1564,,MySQL
1564,,Redis
1564,,SQLite
1564,MySQL,
1564,Redis,
1564,SQLite,
1566,MariaDB,MariaDB
1566,,MySQL
1566,,Redis
1566,MySQL,
1566,Redis,
1580,Microsoft SQL Server,Microsoft SQL Server
1600,Elasticsearch,Microsoft SQL Server
1600,,SQLite
1600,Microsoft SQL Server,
1605,MySQL,MariaDB
1605,,MySQL
1605,,Redis
1605,Redis,
1612,DynamoDB,MySQL
1612,Elasticsearch,
1612,Firebase,
1631,PostgreSQL,PostgreSQL
1631,,Redis
1631,Redis,
1639,PostgreSQL,PostgreSQL
1639,,SQLite
1644,Firebase,Firebase
1644,,MySQL
1644,MongoDB,
1644,MySQL,
1644,PostgreSQL,
1646,Microsoft SQL Server,Microsoft SQL Server
1646,Redis,
1646,SQLite,
1647,Cassandra,Elasticsearch
1647,,MySQL
1647,,PostgreSQL
1647,,Redis
1647,Elasticsearch,
1647,Firebase,
1647,MySQL,
1647,Redis,
1652,Cassandra,Firebase
1652,,Microsoft SQL Server
1652,,MySQL
1652,,SQLite
1652,PostgreSQL,
1669,MariaDB,MariaDB
1669,,MongoDB
1669,,MySQL
1669,,PostgreSQL
1669,,SQLite
1669,MongoDB,
1669,MySQL,
1669,PostgreSQL,
1669,SQLite,
1681,Elasticsearch,MariaDB
1681,,MongoDB
1681,,MySQL
1681,,PostgreSQL
1681,,Redis
1681,,SQLite
1681,MongoDB,
1681,PostgreSQL,
1681,Redis,
1681,SQLite,
1717,Microsoft SQL Server,Microsoft SQL Server
1717,,MongoDB
1717,,MySQL
1725,Elasticsearch,MongoDB
1725,,MySQL
1725,,Redis
1725,MongoDB,
1725,MySQL,
1725,Redis,
1732,Cassandra,Elasticsearch
1732,,Microsoft SQL Server
1732,,MongoDB
1732,,MySQL
1732,,Oracle
1732,,PostgreSQL
1732,,SQLite
1732,DynamoDB,
1732,Elasticsearch,
1732,PostgreSQL,
1745,Elasticsearch,Elasticsearch
1745,,Microsoft SQL Server
1745,Microsoft SQL Server,
1759,DynamoDB,DynamoDB
1759,,MariaDB
1759,,MySQL
1759,,PostgreSQL
1759,,Redis
1759,,SQLite
1759,Redis,
1759,SQLite,
1779,DynamoDB,DynamoDB
1779,,Microsoft SQL Server
1779,,MySQL
1779,Elasticsearch,
1779,MariaDB,
1779,Microsoft SQL Server,
1779,Redis,
1779,SQLite,
1796,DynamoDB,Microsoft SQL Server
1796,Microsoft SQL Server,
1796,Redis,
1801,Elasticsearch,Elasticsearch
1801,,Firebase
1801,,MongoDB
1801,,PostgreSQL
1801,Firebase,
1801,MongoDB,
1801,PostgreSQL,
1808,Microsoft SQL Server,Microsoft SQL Server
1808,Redis,
1814,Firebase,Microsoft SQL Server
1814,,Oracle
1814,Microsoft SQL Server,
1814,Oracle,
1820,DynamoDB,Microsoft SQL Server
1820,,MySQL
1820,MongoDB,
1826,Cassandra,Elasticsearch
1826,,Microsoft SQL Server
1826,,Redis
1826,Elasticsearch,
1826,PostgreSQL,
1826,Redis,
1829,DynamoDB,DynamoDB
1829,,MySQL
1829,,Redis
1829,MySQL,
1829,Redis,
1833,Elasticsearch,Elasticsearch
1833,,Microsoft SQL Server
1833,,MongoDB
1833,,PostgreSQL
1833,PostgreSQL,
1833,Redis,
1845,Cassandra,Microsoft SQL Server
1845,,Redis
1845,Microsoft SQL Server,
1845,Redis,
1857,Microsoft SQL Server,Microsoft SQL Server
1866,Microsoft SQL Server,Microsoft SQL Server
1866,,MySQL
1866,,PostgreSQL
1866,PostgreSQL,
1890,DynamoDB,Firebase
1890,,MariaDB
1890,,MySQL
1890,,PostgreSQL
1890,Firebase,
1890,PostgreSQL,
1908,Elasticsearch,Microsoft SQL Server
1908,,MySQL
1908,Firebase,
1908,Microsoft SQL Server,
1908,MongoDB,
1945,Cassandra,Elasticsearch
1945,,Firebase
1945,,IBM DB2
1945,,MySQL
1945,,Oracle
1945,,PostgreSQL
1945,,SQLite
1945,Elasticsearch,
1945,MariaDB,
1945,MySQL,
1945,Oracle,
1945,PostgreSQL,
1945,SQLite,
1966,Elasticsearch,MariaDB
1966,,MySQL
1966,,SQLite
1966,MariaDB,
1966,SQLite,
1971,Couchbase,Microsoft SQL Server
1976,Microsoft SQL Server,Elasticsearch
1976,,MariaDB
1976,,Microsoft SQL Server
1976,MongoDB,
1977,Redis,DynamoDB
1977,,Elasticsearch
1977,,MySQL
1977,,PostgreSQL
1983,Couchbase,Couchbase
1983,,MongoDB
1983,,MySQL
1983,,Redis
1983,MongoDB,
1983,MySQL,
1983,Redis,
1984,PostgreSQL,Cassandra
1984,,Microsoft SQL Server
1984,,MongoDB
1984,,PostgreSQL
1984,,Redis
1990,MariaDB,Elasticsearch
1990,,Firebase
1990,,MariaDB
1990,,Microsoft SQL Server
1990,,MySQL
1990,,PostgreSQL
1990,,SQLite
1990,Microsoft SQL Server,
1990,MySQL,
1990,PostgreSQL,
1990,SQLite,
1994,Elasticsearch,Microsoft SQL Server
1994,MongoDB,
1994,PostgreSQL,
2001,Microsoft SQL Server,Microsoft SQL Server
2001,,MySQL
2001,MongoDB,
2001,MySQL,
2001,PostgreSQL,
2001,SQLite,
2003,Cassandra,Cassandra
2003,,Firebase
2003,,MongoDB
2003,,MySQL
2003,,PostgreSQL
2003,,Redis
2003,MongoDB,
2003,MySQL,
2003,PostgreSQL,
2003,Redis,
2003,SQLite,
2007,PostgreSQL,Redis
2007,,SQLite
2007,Redis,
2007,SQLite,
2008,Microsoft SQL Server,Microsoft SQL Server
2013,Elasticsearch,Elasticsearch
2013,,Microsoft SQL Server
2013,,MongoDB
2013,,MySQL
