,Respondent,PlatformDesireNextYear,PlatformWorkedWith
2708,1128,,iOS
2709,1128,Docker,
2718,1128,iOS,
2727,1128,Kubernetes,
2736,1128,Linux,
2745,1128,MacOS,
2754,1128,Windows,
2763,1144,AWS,AWS
2764,1144,,Android
2765,1144,,Arduino
2766,1144,,Docker
2767,1144,,Heroku
2768,1144,Docker,
2773,1144,Kubernetes,
2778,1164,iOS,Android
2779,1164,,MacOS
2780,1164,,Microsoft Azure
2781,1164,,Raspberry Pi
2782,1164,,iOS
2783,1164,MacOS,
2788,1164,Microsoft Azure,
2793,1164,Raspberry Pi,
2798,1166,AWS,AWS
2799,1166,,Linux
2800,1166,,Windows
2801,1166,Linux,
2804,1166,Windows,
2807,1168,AWS,AWS
2808,1168,,Docker
2809,1168,,Google Cloud Platform
2810,1168,,Linux
2811,1168,,MacOS
2812,1168,,Microsoft Azure
2813,1168,,Windows
2814,1168,Docker,
2821,1168,Google Cloud Platform,
2828,1168,Heroku,
2835,1168,Linux,
2842,1174,AWS,Google Cloud Platform
2843,1174,,Microsoft Azure
2844,1174,,Windows
2845,1174,Docker,
2848,1174,Microsoft Azure,
2851,1174,Raspberry Pi,
2854,1174,Windows,
2857,1177,Android,Microsoft Azure
2858,1177,,Windows
2859,1177,Docker,
2861,1177,Microsoft Azure,
2863,1177,Windows,
2865,1188,AWS,AWS
2866,1188,,Linux
2867,1188,,Microsoft Azure
2868,1188,,Windows
2869,1188,Google Cloud Platform,
2873,1188,MacOS,
2877,1188,Raspberry Pi,
2881,1190,Docker,AWS
2882,1190,,Docker
2883,1190,,Heroku
2884,1190,,Kubernetes
2885,1190,Kubernetes,
2889,1197,Docker,AWS
2890,1197,,Docker
2891,1197,,Google Cloud Platform
2892,1197,Kubernetes,
2895,1198,AWS,Linux
2896,1198,,Windows
2897,1198,Linux,
2899,1198,Raspberry Pi,
2901,1198,Windows,
2903,1206,AWS,AWS
2904,1206,Docker,
2905,1216,Docker,AWS
2906,1216,,Docker
2907,1216,,MacOS
2908,1216,,Windows
2909,1216,,iOS
2910,1216,MacOS,
2915,1216,Windows,
2920,1219,AWS,AWS
2921,1219,,Google Cloud Platform
2922,1219,,Linux
2923,1219,,Microsoft Azure
2924,1219,,Windows
2925,1219,Docker,
2930,1219,Google Cloud Platform,
2935,1219,Kubernetes,
2940,1219,Linux,
2945,1219,Microsoft Azure,
2950,1219,Raspberry Pi,
2955,1219,Windows,
2960,1221,Docker,AWS
2961,1221,,Heroku
2962,1221,,MacOS
2963,1221,,Microsoft Azure
2964,1221,,Slack Apps and Integrations
2965,1221,,Windows
2966,1221,Heroku,
2972,1221,iOS,
2978,1221,MacOS,
2984,1221,Microsoft Azure,
2990,1221,Raspberry Pi,
2996,1221,Slack Apps and Integrations,
3002,1234,AWS,AWS
3003,1234,,Docker
3004,1234,,Linux
3005,1234,,Windows
3006,1234,Docker,
3010,1234,Kubernetes,
3014,1234,Linux,
3018,1234,Microsoft Azure,
3022,1240,Android,AWS
3023,1240,,Android
3024,1240,,Docker
3025,1240,,Google Cloud Platform
3026,1240,,MacOS
3027,1240,,Slack Apps and Integrations
3028,1240,,Windows
3029,1240,,iOS
3030,1240,AWS,
3038,1240,Docker,
